Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Bhutan,,,,,,,,,,,61812113.04,66289450.33,70139866.79,78900289.31,92901784.54,86820762.47,88461262.74,97884433.76,94086227.65,105377995.2,128669200.9,139174178.1,141439317.4,156704289.9,160423494,163288815.3,191218115.5,242742766.4,272298066.5,264798626.2,287765007.1,240294286,240233531.2,225973692.8,258954708,290490983.8,303408345.6,352229076.7,363458380.9,399311199.5,460733418.4,496110225.7,559345263.7,651935430.3,735348490.4,860391000.2,942879878.5,1255767964,1317517835,1331343798,1673464261,1938441289,1939730676,1913162477,2057330873,2154921011,2322730512,2591358115,2583335723,2735683409,2457604042,2768802803,2898227713,
Botswana,30411413.66,32902612.87,35644956.64,38091842.85,41616347.79,45788696.33,51465655.39,58642354.09,66248441.42,77361546.51,96243233.66,127448613.5,164460915,244124164,306044207.5,355168571.5,372025093,451624780.3,590407374.4,819870258.8,1060889704,1073812830,1014945696,1172230397,1240822167,1114783343,1392602164,1965226890,2644554159,3083822112,3790636324,3942876703,4146464587,4160129175,4259259604,4730599122,4847757218,5020265627,4790481509,5484263347,5788329609,5489608300,5438863983,7511582173,8957467707,9918907108,9919158482,10567270656,10730829116,10118459242,12637273429,15110643612,13907464500,14271738933,15470088501,13530748845,15082637184,16105155857,17031943186,16725908149,14960291106,18750946600,20321958850,19395765126
Central African Republic,112155598.5,123134583.5,124482773.8,129379123.8,142025078.7,150574795.4,157930018.1,163820513.6,191767441.6,188039210.1,189106529.2,201450799.8,230317883.4,271183082,281398705.6,378660016.3,451152461.3,507298147.5,610578632,700764747.8,797048198.5,694803622.9,748312390.8,658679332.7,637820670.3,864849836.3,1122265013,1200991978,1264899288,1233930281,1440711459,1377374987,1411917553,1278781262,851174356.8,1115389674,1007791127,937741513,967338389.7,999477510.7,916777282.7,932648604.8,996068144.9,1142315523,1272360517,1337894379,1461859762,1699811295,1993407888,2067381665,2142591540,2437982705,2510126512,1691544110,1894813389,1695825714,1825018145,2072349973,2220979146,2221301351,2326720900,2516498412,2382618615,2555492085
Canada,40563768947,41038192838,42336211556,45140337827,49503663836,54649410479,61252415405,65856924424,72048833006,79405011125,88192257632,99606454744,113464000000,131764000000,160949000000,174420000000,207272000000,212325000000,219370000000,243891000000,274777000000,307247000000,314648000000,341866000000,356718000000,366186000000,379007000000,433134000000,509380000000,567212000000,596076000000,612528000000,594387000000,579054000000,579944000000,605961000000,630608000000,654987000000,634000000000,678412000000,744773000000,738982000000,760649000000,895541000000,1026690000000,1173110000000,1319260000000,1468820000000,1552990000000,1374630000000,1617340000000,1793330000000,1828370000000,1846600000000,1805750000000,1556510000000,1527990000000,1649270000000,1725330000000,1743730000000,1655680000000,2007470000000,2161480000000,2140090000000
Central Europe and the Baltics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271637000000,249770000000,256444000000,269827000000,308021000000,393418000000,416195000000,410169000000,448895000000,435066000000,428598000000,468614000000,528074000000,634394000000,763090000000,886072000000,1001640000000,1265570000000,1530720000000,1289850000000,1316550000000,1454730000000,1359050000000,1417560000000,1463820000000,1293620000000,1316820000000,1461570000000,1649010000000,1674820000000,1665820000000,1908200000000,1943580000000,2252970000000
Switzerland,10412232621,11713348834,12989649694,14283872299,15833133858,16780226225,18019402374,19397044714,20712102794,22442043274,24998066773,30040171751,36844318854,49550006320,57103011446,65466081819,68476524644,73135771167,102280000000,114970000000,122558000000,112245000000,115043000000,114634000000,109455000000,110980000000,159090000000,199236000000,215541000000,208106000000,265764000000,268902000000,279921000000,272238000000,301375000000,352836000000,340104000000,294788000000,303459000000,297874000000,279216000000,286583000000,309301000000,362075000000,403913000000,418285000000,441635000000,490741000000,567268000000,554213000000,598851000000,715888000000,686420000000,706235000000,726538000000,694118000000,687895000000,695201000000,725569000000,721369000000,741999000000,813409000000,818427000000,884940000000
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5945677377,6262740657,6439703435,6232906290,6663669065,7332244898,8553643354,8827272727,9676172953,11514605842,,,,,,,,,9072059721,9070980827,9940766574,9921386550,9301349237,11138490592,11228317319,
Chile,4110000000,4829238095,5631285444,5591307028,5964195925,6108679126,7162633082,7057478295,7192102967,8359596194,9144112431,10876091408,11833904488,16826390944,16209693232,7621570062,10338624019,13965595122,15992038535,21806136346,29036709872,34509878044,19529291465,20362016672,19671768024,17717662228,18897110626,22250729667,26042571616,29936735491,33137824762,37846188228,45949608552,49287378599,56998601184,73444831671,78584098983,85741415285,81990010704,75578685736,78339750722,71574739561,70264045939,76492579644,99075985773,122294000000,153844000000,172491000000,179895000000,171778000000,217051000000,251383000000,267025000000,277395000000,259561000000,242450000000,249345000000,276154000000,295858000000,278285000000,254042000000,315515000000,302117000000,335533000000
China,59716249311,50056685957,47209186415,50706614526,59708125204,70436008642,76720005492,72881364882,70846276051,79705614855,92602634892,99800593791,113689000000,138543000000,144189000000,163430000000,153939000000,174936000000,149541000000,178281000000,191149000000,195866000000,205090000000,230687000000,259947000000,309488000000,300758000000,272973000000,312354000000,347768000000,360858000000,383373000000,426916000000,444731000000,564322000000,734485000000,863749000000,961602000000,1029060000000,1094000000000,1211330000000,1339400000000,1470560000000,1660280000000,1955350000000,2285960000000,2752120000000,3550330000000,4594340000000,5101690000000,6087190000000,7551550000000,8532190000000,9570470000000,10475600000000,11061600000000,11233300000000,12310500000000,13894900000000,14280000000000,14687700000000,17820500000000,17881800000000,17794800000000
Cote d'Ivoire,546203559.3,618245634.2,645284473.7,761047198,921063326.6,919771228.8,1024102880,1082922725,1281281277,1361360293,1455482795,1584128509,1849400402,2508421426,3070152309,3893839190,4662053825,6265068189,7900526298,9142933967,10175617609,8432589942,7567110849,6838184773,6841639247,6977650644,9158302100,10087654465,10255169806,9757410645,10795850583,10492628581,11152971274,11045760288,8313557510,11000146267,18071152831,18047558038,19619654756,18870992456,16577533892,16810537044,18054383321,21251754340,23510575681,24036918703,25281413263,28760090953,34078240293,33886813250,34936307980,36693710801,36302302877,42760235485,48843005614,45815005169,48407761037,52512343997,58522477787,60382894697,63027852805,72794636654,70173140101,78788828907
