"DID #","Survey","First Generation Status","Gender","Transfer Student","Upper v Lower","Race/Ethnicity","Class Level","J_total","T_total","Major","STEM"
45,"Pre","No","Woman","Yes","U","Pacific Islander","Senior",72,43,"Nutrition","Non-STEM"
46,"Pre","No","Woman","Yes","L","White","Junior",68,50,"Biological Sciences","STEM"
47,"Pre","Yes","Man","No","L","Asian","Junior",66,33,"Public Health","Non-STEM"
48,"Pre","No","Woman","No","U","Hispanic/Latino","Senior",81,55,"Biological Sciences","STEM"
49,"Pre","Yes","Woman","Yes","L","White","Junior",78,46,"Health Sciences","Non-STEM"
50,"Pre","No","Man","Yes","L","Asian","Junior",67,46,"Kinesiology","Non-STEM"
51,"Pre","No","Man","No","L","Asian","Freshmen",66,41,"Undeclared","Non-STEM"
52,"Pre","Yes","Woman","No","U","Hispanic/Latino","Senior",78,55,"Biological Sciences","STEM"
53,"Pre","No","Woman","No","L","Hispanic/Latino","Sophomore",61,37,"Recreation Therapy","Non-STEM"
54,"Pre","No","Woman","No","L","Two or More","Senior",82,48,"Biological Sciences","STEM"
55,"Pre","No","Woman","No","L","Hispanic/Latino","Sophomore",78,43,"Kinesiology","Non-STEM"
56,"Pre","Yes","Woman","No","U","Asian","Senior",78,47,"Biological Sciences","STEM"
57,"Pre","No","Woman","No","L","Two or More",NA,90,47,"Nutrition","Non-STEM"
58,"Pre","No","Woman","No","L","White","Junior",68,45,"Nursing","Non-STEM"
59,"Pre","No","Woman","No","U","Two or More","Junior",85,53,"Kinesiology","Non-STEM"
60,"Pre","No","Man","No","L","Hispanic/Latino","Junior",63,38,"Kinesiology","Non-STEM"
61,"Pre","Yes","Woman","No","L","Hispanic/Latino","Sophomore",54,46,"Public Health","Non-STEM"
62,"Pre","No","Woman","No","L","White","Sophomore",80,45,"Kinesiology","Non-STEM"
63,"Pre","Yes","Man","No","L","Hispanic/Latino","Senior",79,35,"Nursing","Non-STEM"
64,"Pre","No","Woman","No","L","Asian","Sophomore",75,47,"Nursing","Non-STEM"
65,"Pre","Yes","Woman","No","L","Hispanic/Latino","Sophomore",89,55,"Public Health","Non-STEM"
66,"Pre","No","Woman","No","L","Asian","Junior",72,48,"Health Sciences","Non-STEM"
67,"Pre","No","Man","Yes","U","White","Senior",70,42,"Biological Sciences","STEM"
68,"Pre","No","Woman","No","L","Hispanic/Latino","Junior",66,37,"Public Health","Non-STEM"
69,"Pre","No","Woman","No","L","American Indian","Sophomore",66,49,"Health Sciences","Non-STEM"
70,"Pre","No","Man","No","L",NA,"Sophomore",75,52,"Nursing","Non-STEM"
